repair_id,claim_id,vehicle_id,repair_shop_contact_id,estimate_amount,approved_amount,invoice_amount,paid_amount,repair_start_date,repair_end_date,repair_status,make,model,vehicle_year,claim_status,claim_severity,loss_cause,jurisdiction,incident_type,damage_severity,incident_state,incident_country,total_loss,liability_percentage,exposure_type,coverage_type,exposure_status,is_repeat_vehicle,is_synthetic_anomaly,anomaly_type
2595,1869,4696,71,1246.58,1165.22,1290.02,1190.79,2026-06-07,2026-06-10,Completed,Honda,Civic,2009,Open,Low,Side Impact,NY,Vehicle Accident,Minor,NY,USA,False,91.71209090870767,Third Party Property Damage,Liability,Open,False,False,
2596,1870,133,205,2170.71,2041.15,2138.8,2048.21,2026-05-24,2026-06-01,Completed,Hyundai,Elantra,2023,Open,Low,Rear-end Collision,NJ,Vehicle Accident,Moderate,NJ,USA,False,83.82292673185668,Third Party Property Damage,Liability,Closed,False,False,
2597,1870,133,205,1394.46,1353.28,1267.08,1266.44,2026-05-24,2026-06-01,In Progress,Hyundai,Elantra,2023,Open,Low,Rear-end Collision,NJ,Vehicle Accident,Moderate,NJ,USA,False,83.82292673185668,Third Party Property Damage,Liability,Closed,False,False,
2598,1871,2558,62,2296.86,2087.01,2639.88,1975.82,2025-03-01,2025-03-05,Completed,BMW,3 Series,2023,Open,Medium,Parking Lot Incident,TX,Vehicle Accident,Minor,TX,USA,False,78.74614472021192,First Party Collision,Collision,Closed,False,False,
2599,1872,3101,173,1144.16,1194.01,1151.71,1107.38,2025-01-11,2025-01-14,Scheduled,Toyota,Camry,2020,Open,Medium,Parking Lot Incident,NC,Vehicle Accident,Minor,NC,USA,False,54.60878906930892,Third Party Property Damage,Liability,Closed,False,False,
2600,1872,3101,173,1187.24,1210.15,1190.33,1230.93,2025-01-11,2025-01-14,Completed,Toyota,Camry,2020,Open,Medium,Parking Lot Incident,NC,Vehicle Accident,Minor,NC,USA,False,54.60878906930892,Third Party Property Damage,Liability,Closed,False,False,
2601,1872,3101,173,1219.06,1070.04,1311.67,1062.05,2025-01-11,2025-01-14,Completed,Toyota,Camry,2020,Open,Medium,Parking Lot Incident,NC,Vehicle Accident,Minor,NC,USA,False,54.60878906930892,Third Party Property Damage,Liability,Closed,False,False,
2602,1873,624,177,2213.35,1844.48,2227.89,1816.74,2026-01-10,2026-01-20,In Progress,Toyota,Camry,2009,Open,Medium,Parking Lot Incident,NJ,Parking Incident,Moderate,NJ,USA,False,43.667867382365856,First Party Collision,Comprehensive,Closed,True,False,
2603,1873,624,177,2593.03,2593.87,2396.13,2367.22,2026-01-10,2026-01-20,In Progress,Toyota,Camry,2009,Open,Medium,Parking Lot Incident,NJ,Parking Incident,Moderate,NJ,USA,False,43.667867382365856,First Party Collision,Comprehensive,Closed,True,False,
2604,1874,4247,76,5384.79,5184.4,5486.35,5128.6,2025-12-19,2025-12-25,In Progress,Mercedes-Benz,C-Class,2023,Open,Medium,Head-on Collision,PA,Parking Incident,Moderate,PA,USA,False,66.25047172299323,First Party Collision,Comprehensive,Open,False,False,
2605,1875,5704,220,1201.22,1129.93,1150.54,1148.99,2025-04-16,2025-04-22,Completed,Toyota,Camry,2025,Open,Medium,Side Impact,PA,Weather Damage,Minor,PA,USA,False,88.0719618225849,First Party Collision,Comprehensive,Under Review,False,False,
2606,1876,5687,196,2519.17,2419.0,2488.42,2415.56,2026-06-22,2026-06-26,Completed,Honda,CR-V,2022,Open,Medium,Parking Lot Incident,CA,Vehicle Accident,Moderate,CA,USA,False,82.53026994167509,Third Party Property Damage,Liability,Open,False,False,
2607,1876,5687,196,2672.03,2515.63,3046.78,2474.79,2026-06-22,2026-06-26,Completed,Honda,CR-V,2022,Open,Medium,Parking Lot Incident,CA,Vehicle Accident,Moderate,CA,USA,False,82.53026994167509,Third Party Property Damage,Liability,Open,False,False,
2608,1877,1231,106,2870.24,2705.29,2839.7,2759.59,2025-11-08,2025-11-18,Completed,Honda,CR-V,2011,Closed,Medium,Side Impact,PA,Vehicle Accident,Moderate,PA,USA,False,70.77224425697722,Third Party Property Damage,Liability,Closed,False,False,
2609,1878,2911,34,911.63,860.42,920.65,852.13,2025-09-17,2025-09-22,Completed,Hyundai,Elantra,2014,Closed,Medium,Parking Lot Incident,CA,Vehicle Accident,Minor,CA,USA,False,66.1137147808972,Third Party Property Damage,Liability,Closed,False,False,
2610,1879,6412,108,998.93,871.9,1098.55,893.71,2026-04-26,2026-04-28,Completed,Ford,Focus,2013,Open,Medium,Parking Lot Incident,FL,Vehicle Accident,Minor,FL,USA,False,95.0945326461622,Third Party Property Damage,Liability,Open,False,False,
2611,1880,4097,199,1202.2,1142.37,1203.76,1145.26,2025-06-18,2025-06-23,Completed,Ford,F-150,2023,Open,Medium,Weather Related,IL,Vandalism,Minor,IL,USA,False,69.49385479578523,First Party Collision,Comprehensive,Under Review,False,False,
2612,1881,988,28,3707.95,3527.64,3762.67,3526.25,2025-12-26,2026-01-11,Completed,Ford,Focus,2009,Open,High,Side Impact,NY,Vehicle Accident,Severe,NY,USA,False,63.84555921713005,Third Party Property Damage,Liability,Open,False,False,
2613,1882,3826,126,1287.71,1200.44,1212.79,1154.94,2025-01-24,2025-01-25,In Progress,Ford,F-150,2023,Closed,Low,Rear-end Collision,TX,Weather Damage,Minor,TX,USA,False,92.75835380777485,First Party Collision,Comprehensive,Open,False,False,
2614,1883,1302,57,2144.65,1805.78,2799.67,1786.44,2026-02-03,2026-02-05,Completed,Nissan,Altima,2010,Closed,Low,Rear-end Collision,TX,Vehicle Accident,Moderate,TX,USA,False,74.8842866708807,Third Party Property Damage,Liability,Open,False,False,
2615,1884,4138,59,8512.8,7992.41,8048.08,8571.36,2025-02-14,2025-03-03,Completed,BMW,3 Series,2022,Closed,Low,Head-on Collision,CA,Parking Incident,Severe,CA,USA,False,81.82130273881877,First Party Collision,Comprehensive,Open,False,False,
2616,1885,5793,7,1301.22,1169.99,1391.22,1154.85,2025-08-16,2025-08-22,Completed,Toyota,Camry,2014,Closed,Medium,Side Impact,CA,Vehicle Accident,Minor,CA,USA,False,74.33111917334902,Third Party Property Damage,Liability,Open,True,False,
2617,1886,5980,51,1276.91,1228.51,1069.22,1092.54,2026-01-05,2026-01-08,In Progress,Subaru,Outback,2019,Closed,Low,Hit and Run,PA,Vehicle Accident,Minor,PA,USA,False,51.79043830736322,Third Party Property Damage,Liability,Closed,False,False,
2618,1887,5137,83,9994.23,9166.94,10335.5,8890.74,2025-09-13,2025-10-09,Completed,Honda,CR-V,2017,Closed,High,Rear-end Collision,NJ,Vehicle Accident,Total Loss,NJ,USA,True,67.62331569001918,Third Party Property Damage,Liability,Open,True,False,
2619,1887,5137,83,10226.57,9773.57,10300.54,9900.46,2025-09-13,2025-10-09,Completed,Honda,CR-V,2017,Closed,High,Rear-end Collision,NJ,Vehicle Accident,Total Loss,NJ,USA,True,67.62331569001918,Third Party Property Damage,Liability,Open,True,False,
2620,1888,3145,155,5347.75,4856.57,5594.52,4803.75,2026-05-02,2026-05-27,Completed,Ford,Focus,2020,Closed,Medium,Weather Related,NY,Vehicle Accident,Total Loss,NY,USA,True,100.0,Third Party Property Damage,Liability,Open,False,False,
2621,1889,6284,6,2979.5,2714.98,3067.23,2794.77,2026-06-18,2026-06-28,Scheduled,Honda,CR-V,2020,Closed,Medium,Rear-end Collision,NJ,Vehicle Accident,Moderate,NJ,USA,False,91.62711398361573,Third Party Property Damage,Liability,Open,False,False,
2622,1889,6284,6,2858.72,2590.97,2828.2,2574.6,2026-06-18,2026-06-28,Completed,Honda,CR-V,2020,Closed,Medium,Rear-end Collision,NJ,Vehicle Accident,Moderate,NJ,USA,False,91.62711398361573,Third Party Property Damage,Liability,Open,False,False,
2623,1889,6284,6,3014.74,3124.1,3203.02,3095.45,2026-06-18,2026-06-28,Completed,Honda,CR-V,2020,Closed,Medium,Rear-end Collision,NJ,Vehicle Accident,Moderate,NJ,USA,False,91.62711398361573,Third Party Property Damage,Liability,Open,False,False,
2624,1890,5703,20,3346.54,2998.99,3099.7,2936.37,2025-04-07,2025-04-14,Completed,Chevrolet,Silverado,2016,Closed,Low,Weather Related,IL,Weather Damage,Moderate,IL,USA,False,80.29625812021001,First Party Collision,Comprehensive,Open,True,False,
2625,1890,5703,20,1658.51,1611.52,1470.08,1451.01,2025-04-07,2025-04-14,In Progress,Chevrolet,Silverado,2016,Closed,Low,Weather Related,IL,Weather Damage,Moderate,IL,USA,False,80.29625812021001,First Party Collision,Comprehensive,Open,True,False,
2626,1890,5703,20,3468.29,3143.8,3108.27,3105.94,2025-04-07,2025-04-14,In Progress,Chevrolet,Silverado,2016,Closed,Low,Weather Related,IL,Weather Damage,Moderate,IL,USA,False,80.29625812021001,First Party Collision,Comprehensive,Open,True,False,
2627,1891,7579,158,4849.53,4306.02,4931.29,4252.4,2025-05-04,2025-05-08,Completed,Tesla,Model 3,2019,Open,Low,Weather Related,NC,Vandalism,Moderate,NC,USA,False,100.0,First Party Collision,Comprehensive,Open,False,False,
2628,1892,3072,119,1146.66,1037.22,1066.72,1010.63,2025-03-03,2025-03-05,Completed,Honda,CR-V,2025,Closed,Medium,Parking Lot Incident,IL,Vehicle Accident,Minor,IL,USA,False,79.28084175574917,Third Party Property Damage,Liability,Closed,False,False,
2629,1893,1975,190,2346.92,2282.79,2425.13,2325.16,2025-07-08,2025-07-13,Completed,Honda,CR-V,2018,Open,Low,Side Impact,NY,Vehicle Accident,Moderate,NY,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
2630,1894,857,196,2029.78,2220.07,1923.92,1907.03,2025-05-09,2025-05-18,Completed,Jeep,Grand Cherokee,2015,Closed,Medium,Rear-end Collision,NY,Weather Damage,Moderate,NY,USA,False,92.0708985323308,First Party Collision,Comprehensive,Closed,False,False,
2631,1895,2727,131,1803.65,1875.25,2655.92,1815.42,2025-01-27,2025-02-03,Completed,Honda,Civic,2015,Closed,Medium,Weather Related,OH,Vehicle Accident,Moderate,OH,USA,False,58.36767318253246,Third Party Property Damage,Liability,Closed,False,False,
2632,1896,1732,45,881.58,812.42,924.85,824.11,2025-03-02,2025-03-14,In Progress,Toyota,Corolla,2015,Closed,Low,Side Impact,OH,Vehicle Accident,Minor,OH,USA,False,57.77621289632639,First Party Collision,Collision,Open,False,False,
2633,1897,7217,21,815.98,763.06,855.8,730.22,2025-12-22,2025-12-25,In Progress,Toyota,Corolla,2025,Open,Low,Parking Lot Incident,NC,Vehicle Accident,Minor,NC,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
2634,1897,7217,21,897.89,760.88,1002.31,784.33,2025-12-22,2025-12-25,Completed,Toyota,Corolla,2025,Open,Low,Parking Lot Incident,NC,Vehicle Accident,Minor,NC,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
2635,1898,5052,114,1922.11,1740.35,1601.97,1617.84,2025-06-17,2025-06-21,In Progress,Hyundai,Elantra,2017,Closed,Medium,Hit and Run,FL,Vehicle Accident,Moderate,FL,USA,False,87.7702881022624,First Party Collision,Collision,Open,True,False,
2636,1899,2693,61,2822.65,2685.16,3169.64,2793.58,2026-02-19,2026-02-26,Completed,Toyota,Camry,2008,Closed,High,Side Impact,IL,Vehicle Accident,Moderate,IL,USA,False,54.25167046578564,Third Party Property Damage,Liability,Open,False,False,
2637,1900,4423,156,1903.69,1744.36,2035.58,1683.04,2025-08-25,2025-09-01,In Progress,Honda,Civic,2011,Reopened,Low,Parking Lot Incident,CA,Vehicle Accident,Moderate,CA,USA,False,69.84010198882669,Third Party Property Damage,Liability,Closed,False,False,
2638,1901,5551,203,1207.6,1115.22,1322.8,1134.12,2025-09-28,2025-10-06,Completed,Honda,Civic,2021,Closed,High,Weather Related,GA,Vehicle Accident,Minor,GA,USA,False,100.0,First Party Collision,Collision,Closed,False,False,
2639,1902,7647,139,4182.03,3954.69,4153.74,4047.43,2026-05-30,2026-06-16,Completed,Chevrolet,Silverado,2025,Open,Medium,Rear-end Collision,NJ,Vehicle Accident,Severe,NJ,USA,False,100.0,Third Party Property Damage,Liability,Under Review,True,False,
2640,1903,4202,55,2520.19,2445.12,2463.9,2333.84,2025-06-12,2025-06-14,Completed,Mercedes-Benz,C-Class,2019,Closed,Low,Side Impact,CA,Vehicle Accident,Minor,CA,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
2641,1904,834,152,2978.32,2748.77,3212.16,2769.54,2026-05-28,2026-06-13,In Progress,Hyundai,Elantra,2012,Open,High,Parking Lot Incident,CA,Vehicle Accident,Severe,CA,USA,False,51.594848623792565,Third Party Property Damage,Liability,Open,False,False,
2642,1905,4913,215,6376.35,5917.4,6156.26,6257.18,2026-04-23,2026-05-07,Scheduled,BMW,X5,2018,Closed,Medium,Hit and Run,OH,Weather Damage,Moderate,OH,USA,False,86.16399179516564,First Party Collision,Comprehensive,Open,False,False,
2643,1906,3534,53,1247.69,1196.95,1227.41,1207.23,2025-06-23,2025-06-27,Completed,Toyota,Camry,2013,Closed,High,Side Impact,TX,Vehicle Accident,Minor,TX,USA,False,95.44556709036888,Third Party Property Damage,Liability,Closed,False,False,
2644,1907,1004,102,2486.19,2373.8,2315.99,2298.58,2025-12-04,2025-12-14,Completed,Honda,Civic,2013,Closed,Low,Hit and Run,CA,Vehicle Accident,Moderate,CA,USA,False,79.01836606629544,Third Party Property Damage,Liability,Closed,False,False,
2645,1907,1004,102,1807.21,1774.14,1938.0,1772.13,2025-12-04,2025-12-14,Completed,Honda,Civic,2013,Closed,Low,Hit and Run,CA,Vehicle Accident,Moderate,CA,USA,False,79.01836606629544,Third Party Property Damage,Liability,Closed,False,False,
2646,1907,1004,102,1938.75,1901.88,1732.64,1765.91,2025-12-04,2025-12-14,Scheduled,Honda,Civic,2013,Closed,Low,Hit and Run,CA,Vehicle Accident,Moderate,CA,USA,False,79.01836606629544,Third Party Property Damage,Liability,Closed,False,False,
2647,1908,2903,116,4816.98,4115.79,3937.68,3967.72,2026-05-13,2026-05-25,Scheduled,Tesla,Model 3,2008,Closed,Medium,Parking Lot Incident,OH,Vehicle Accident,Moderate,OH,USA,False,100.0,First Party Collision,Collision,Under Review,False,False,
2648,1909,131,175,5987.72,6186.87,6261.58,6234.32,2026-02-14,2026-03-03,Completed,Chevrolet,Silverado,2009,Closed,Medium,Rear-end Collision,CA,Weather Damage,Severe,CA,USA,False,90.0206400331186,First Party Collision,Comprehensive,Open,False,False,
2649,1910,1187,57,1495.06,1348.53,2011.42,1350.05,2025-11-30,2025-12-04,Completed,Jeep,Grand Cherokee,2008,Open,Low,Parking Lot Incident,NJ,Vehicle Accident,Minor,NJ,USA,False,54.722980074647666,Third Party Property Damage,Liability,Closed,False,False,
2650,1911,6983,106,4212.19,4170.76,4598.81,4142.69,2026-01-29,2026-02-16,Completed,Ford,F-150,2010,Open,High,Parking Lot Incident,CA,Vehicle Accident,Severe,CA,USA,False,98.86217449980688,Third Party Property Damage,Liability,Closed,False,False,
2651,1911,6983,106,5667.33,5656.88,5029.7,5069.38,2026-01-29,2026-02-16,Scheduled,Ford,F-150,2010,Open,High,Parking Lot Incident,CA,Vehicle Accident,Severe,CA,USA,False,98.86217449980688,Third Party Property Damage,Liability,Closed,False,False,
2652,1912,4368,27,2441.97,2245.64,2529.46,2241.53,2025-10-16,2025-10-27,Completed,Honda,CR-V,2011,Open,Low,Side Impact,CA,Vehicle Accident,Moderate,CA,USA,False,67.1360026156519,First Party Collision,Collision,Closed,False,False,
2653,1913,4633,153,2087.02,1947.94,2327.63,2014.91,2026-05-02,2026-05-14,Completed,Nissan,Altima,2024,Open,Low,Parking Lot Incident,IL,Vehicle Accident,Moderate,IL,USA,False,88.20609354986368,Third Party Property Damage,Liability,Open,False,False,
2654,1914,211,177,1406.43,1307.76,1574.58,1347.61,2025-12-23,2025-12-30,Completed,Jeep,Grand Cherokee,2012,Open,Medium,Hit and Run,OH,Weather Damage,Minor,OH,USA,False,57.360568428837524,First Party Collision,Comprehensive,Open,False,False,
2655,1914,211,177,1385.88,1298.25,1536.37,1271.89,2025-12-23,2025-12-30,In Progress,Jeep,Grand Cherokee,2012,Open,Medium,Hit and Run,OH,Weather Damage,Minor,OH,USA,False,57.360568428837524,First Party Collision,Comprehensive,Open,False,False,
2656,1915,7135,179,8288.84,8012.25,6596.3,6477.98,2025-02-05,2025-02-20,In Progress,Tesla,Model 3,2024,Closed,Low,Side Impact,PA,Weather Damage,Severe,PA,USA,False,64.02029758409563,First Party Collision,Comprehensive,Open,False,False,
2657,1916,6655,56,9343.55,8910.9,8899.51,8952.59,2026-05-29,2026-06-23,In Progress,Honda,CR-V,2009,Open,High,Head-on Collision,CA,Vehicle Accident,Total Loss,CA,USA,True,65.24661630177394,Third Party Property Damage,Liability,Open,False,False,
2658,1917,290,109,743.53,644.57,805.85,645.33,2025-04-19,2025-04-25,Completed,Hyundai,Elantra,2018,Closed,Low,Rear-end Collision,NC,Vehicle Accident,Minor,NC,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
2659,1918,25,184,2753.46,2601.54,2735.78,2663.18,2026-02-25,2026-03-06,Scheduled,Honda,CR-V,2016,Reopened,Medium,Rear-end Collision,NY,Vehicle Accident,Moderate,NY,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
2660,1919,2830,111,1656.32,1672.41,1792.3,1633.77,2025-02-04,2025-02-10,Completed,Honda,CR-V,2009,Open,Low,Rear-end Collision,FL,Vehicle Accident,Minor,FL,USA,False,64.4822490052871,Third Party Property Damage,Liability,Open,False,False,
2661,1919,2830,111,1309.77,1136.73,1288.48,1105.76,2025-02-04,2025-02-10,Scheduled,Honda,CR-V,2009,Open,Low,Rear-end Collision,FL,Vehicle Accident,Minor,FL,USA,False,64.4822490052871,Third Party Property Damage,Liability,Open,False,False,
2662,1920,952,56,1152.96,1111.55,1086.22,1082.62,2025-10-02,2025-10-05,Completed,Ford,Focus,2011,Open,Low,Side Impact,NY,Vehicle Accident,Minor,NY,USA,False,59.92456162522774,Third Party Property Damage,Liability,Open,False,False,
2663,1921,6188,158,934.87,872.66,995.36,886.52,2026-06-03,2026-06-06,In Progress,Hyundai,Elantra,2021,Open,Low,Hit and Run,GA,Vandalism,Minor,GA,USA,False,93.24588995429109,First Party Collision,Comprehensive,Open,False,False,
2664,1922,2270,99,12367.09,11128.03,15845.08,11065.72,2026-04-12,2026-05-14,Completed,BMW,3 Series,2012,Closed,Low,Parking Lot Incident,TX,Vehicle Accident,Total Loss,TX,USA,True,98.86253626132775,Third Party Property Damage,Liability,Open,False,False,
2665,1922,2270,99,12947.02,12664.36,17701.72,12607.05,2026-04-12,2026-05-14,Completed,BMW,3 Series,2012,Closed,Low,Parking Lot Incident,TX,Vehicle Accident,Total Loss,TX,USA,True,98.86253626132775,Third Party Property Damage,Liability,Open,False,False,
2666,1923,1523,211,2415.18,2315.73,2373.06,2377.64,2025-05-06,2025-05-16,Scheduled,Toyota,Camry,2022,Closed,Low,Weather Related,NJ,Vehicle Accident,Moderate,NJ,USA,False,54.45459279833305,Third Party Property Damage,Liability,Closed,False,False,
2667,1923,1523,211,2214.06,2184.37,2061.78,2030.58,2025-05-06,2025-05-16,Completed,Toyota,Camry,2022,Closed,Low,Weather Related,NJ,Vehicle Accident,Moderate,NJ,USA,False,54.45459279833305,Third Party Property Damage,Liability,Closed,False,False,
2668,1924,5176,194,9314.418736611322,4020.88,9718.025105830127,3825.71,2026-05-22,2026-06-14,Completed,Toyota,Camry,2008,Closed,Medium,Head-on Collision,TX,Vehicle Accident,Severe,TX,USA,False,61.27356154814791,Third Party Property Damage,Liability,Open,False,True,estimate_inflate
2669,1924,5176,194,4773.79,4886.33,4908.1,5134.28,2026-05-22,2026-06-14,In Progress,Toyota,Camry,2008,Closed,Medium,Head-on Collision,TX,Vehicle Accident,Severe,TX,USA,False,61.27356154814791,Third Party Property Damage,Liability,Open,False,False,
2670,1924,5176,194,3872.66,3240.8,4327.67,3275.52,2026-05-22,2026-06-14,Completed,Toyota,Camry,2008,Closed,Medium,Head-on Collision,TX,Vehicle Accident,Severe,TX,USA,False,61.27356154814791,Third Party Property Damage,Liability,Open,False,False,
2671,1925,1280,214,1946.68,1894.65,2139.62,1902.73,2026-02-10,2026-02-17,In Progress,Nissan,Altima,2009,Open,Medium,Rear-end Collision,FL,Vehicle Accident,Moderate,FL,USA,False,100.0,First Party Collision,Collision,Open,False,False,
2672,1925,1280,214,2422.04,2621.4,2255.51,2298.14,2026-02-10,2026-02-17,Completed,Nissan,Altima,2009,Open,Medium,Rear-end Collision,FL,Vehicle Accident,Moderate,FL,USA,False,100.0,First Party Collision,Collision,Open,False,False,
2673,1926,3105,137,5556.48,5129.15,5785.56,5076.07,2026-03-05,2026-03-23,In Progress,Jeep,Grand Cherokee,2024,Open,Low,Parking Lot Incident,NC,Weather Damage,Severe,NC,USA,False,58.07803638123689,First Party Collision,Comprehensive,Closed,False,False,
2674,1927,2190,98,1292.75,1279.46,1356.34,1315.71,2026-03-09,2026-03-15,In Progress,Honda,CR-V,2024,Open,High,Side Impact,IL,Vehicle Accident,Minor,IL,USA,False,61.29996971621566,Third Party Property Damage,Liability,Under Review,False,False,
2675,1927,2190,98,1618.08,1495.73,1775.73,1528.04,2026-03-09,2026-03-15,Completed,Honda,CR-V,2024,Open,High,Side Impact,IL,Vehicle Accident,Minor,IL,USA,False,61.29996971621566,Third Party Property Damage,Liability,Under Review,False,False,
2676,1928,6037,217,2205.62,1940.19,2129.48,1989.37,2025-05-14,2025-05-27,Scheduled,Toyota,Corolla,2011,Closed,Medium,Rollover,NJ,Vehicle Accident,Moderate,NJ,USA,False,100.0,First Party Collision,Collision,Closed,False,False,
2677,1928,6037,217,1875.98,1602.29,1697.57,1650.57,2025-05-14,2025-05-27,Completed,Toyota,Corolla,2011,Closed,Medium,Rollover,NJ,Vehicle Accident,Moderate,NJ,USA,False,100.0,First Party Collision,Collision,Closed,False,False,
2678,1929,5321,122,1536.93,1365.11,1348.94,1312.96,2025-01-16,2025-01-21,Completed,Subaru,Outback,2024,Open,Low,Rollover,TX,Vehicle Accident,Minor,TX,USA,False,99.88734983023542,Third Party Property Damage,Liability,Open,False,False,
2679,1930,5165,58,1533.48,1511.56,1406.1,1405.43,2025-11-02,2025-11-04,Completed,Chevrolet,Silverado,2008,Closed,Medium,Rear-end Collision,NJ,Parking Incident,Minor,NJ,USA,False,60.66682478824273,First Party Collision,Comprehensive,Open,False,False,
2680,1931,7210,166,1408.88,1392.9,1388.1,1458.17,2025-09-06,2025-09-07,Completed,Subaru,Outback,2014,Closed,Medium,Side Impact,FL,Weather Damage,Minor,FL,USA,False,93.80188634636313,First Party Collision,Comprehensive,Closed,False,False,
2681,1932,5452,46,1690.78,1734.61,2256.51,1704.1,2025-02-02,2025-02-09,Completed,Toyota,Corolla,2008,Open,Medium,Side Impact,NJ,Vehicle Accident,Moderate,NJ,USA,False,100.0,First Party Collision,Collision,Open,False,False,
2682,1933,4811,19,2005.95,2018.0,2299.35,2063.93,2025-07-20,2025-07-27,Completed,Honda,Civic,2016,Reopened,Low,Parking Lot Incident,TX,Weather Damage,Moderate,TX,USA,False,100.0,First Party Collision,Comprehensive,Open,False,False,
2683,1933,4811,19,2464.71,2433.99,2179.17,2075.49,2025-07-20,2025-07-27,In Progress,Honda,Civic,2016,Reopened,Low,Parking Lot Incident,TX,Weather Damage,Moderate,TX,USA,False,100.0,First Party Collision,Comprehensive,Open,False,False,
2684,1934,2555,104,7016.12,6835.55,6271.35,6237.67,2025-11-21,2025-12-20,Completed,Honda,Civic,2021,Open,Low,Parking Lot Incident,IL,Vehicle Accident,Total Loss,IL,USA,True,100.0,Third Party Property Damage,Liability,Closed,False,False,
2685,1935,5210,25,3287.75,2998.83,3313.64,2977.36,2025-08-25,2025-09-14,Completed,Toyota,Corolla,2011,Closed,Low,Parking Lot Incident,OH,Vehicle Accident,Severe,OH,USA,False,100.0,Third Party Property Damage,Liability,Closed,False,False,
2686,1936,6549,118,4268.77,4115.7,4136.66,4160.32,2025-01-07,2025-01-19,In Progress,BMW,3 Series,2009,Closed,High,Side Impact,TX,Vehicle Accident,Moderate,TX,USA,False,56.67712738928856,Third Party Property Damage,Liability,Closed,False,False,
2687,1937,1938,33,1951.14,1817.52,1826.17,1860.23,2025-03-31,2025-04-08,Completed,Toyota,Camry,2021,Open,Medium,Weather Related,NY,Vehicle Accident,Moderate,NY,USA,False,100.0,Third Party Property Damage,Liability,Open,False,False,
2688,1938,5648,67,1277.76,1176.19,1228.79,1189.19,2025-05-18,2025-05-21,In Progress,Toyota,Corolla,2014,Open,High,Rear-end Collision,FL,Vehicle Accident,Minor,FL,USA,False,97.35769282446563,First Party Collision,Collision,Open,False,False,
2689,1939,3344,210,1254.95,1264.0,1296.37,1278.34,2025-07-17,2025-07-21,In Progress,Nissan,Altima,2010,Open,Low,Rear-end Collision,NJ,Vandalism,Minor,NJ,USA,False,92.3316585202757,First Party Collision,Comprehensive,Open,False,False,
2690,1939,3344,210,660.7,608.95,752.41,594.92,2025-07-17,2025-07-21,Completed,Nissan,Altima,2010,Open,Low,Rear-end Collision,NJ,Vandalism,Minor,NJ,USA,False,92.3316585202757,First Party Collision,Comprehensive,Open,False,False,
2691,1940,1330,169,1022.62,948.3,1032.45,950.56,2025-11-02,2025-11-03,Completed,Nissan,Altima,2020,Closed,High,Rear-end Collision,NY,Vandalism,Minor,NY,USA,False,63.703061789330064,First Party Collision,Comprehensive,Closed,False,False,
2692,1941,454,121,1024.31,940.77,994.41,952.66,2026-05-09,2026-05-13,Completed,Toyota,Camry,2023,Open,Medium,Weather Related,TX,Vehicle Accident,Minor,TX,USA,False,72.60302657452111,Third Party Property Damage,Liability,Closed,False,False,
2693,1942,1545,113,8728.68,8263.09,9020.72,8059.56,2025-09-25,2025-10-31,Completed,Chevrolet,Silverado,2018,Open,Medium,Weather Related,TX,Vehicle Accident,Total Loss,TX,USA,True,100.0,Third Party Property Damage,Liability,Open,False,False,
2694,1943,2343,92,2414.05,2342.42,2407.08,2291.79,2025-07-30,2025-08-10,Completed,Toyota,Corolla,2013,Open,Low,Hit and Run,CA,Vehicle Accident,Moderate,CA,USA,False,76.25549850711153,First Party Collision,Collision,Under Review,False,False,
2695,1944,3703,111,1139.56,1045.27,1008.81,969.21,2025-08-26,2025-09-04,In Progress,Honda,Civic,2012,Open,Low,Weather Related,TX,Vehicle Accident,Minor,TX,USA,False,96.8352526295811,Third Party Property Damage,Liability,Closed,True,False,
2696,1945,3116,40,1117.51,1054.49,1212.75,1026.08,2026-03-02,2026-03-07,Completed,Toyota,Camry,2012,Closed,Low,Hit and Run,NY,Vehicle Accident,Minor,NY,USA,False,68.82006310351792,Third Party Property Damage,Liability,Open,False,False,
2697,1946,6784,200,5138.87,5433.34,4880.63,4906.67,2025-07-28,2025-08-08,Completed,BMW,3 Series,2020,Open,Low,Parking Lot Incident,CA,Parking Incident,Moderate,CA,USA,False,86.77672347465037,First Party Collision,Comprehensive,Closed,True,False,
2698,1947,4234,24,2587.24,2528.58,2618.12,2524.18,2025-03-31,2025-04-06,Scheduled,Subaru,Outback,2018,Open,Medium,Parking Lot Incident,PA,Vandalism,Moderate,PA,USA,False,93.46973527291573,First Party Collision,Comprehensive,Closed,False,False,
2699,1948,5670,74,748.08,713.08,726.77,733.13,2025-10-16,2025-10-21,Completed,Hyundai,Elantra,2024,Open,Medium,Side Impact,TX,Vehicle Accident,Minor,TX,USA,False,91.86289141792246,Third Party Property Damage,Liability,Closed,False,False,
2700,1949,5442,30,1143.59,1058.87,1098.75,1074.18,2025-06-06,2025-06-10,Completed,Toyota,Corolla,2022,Closed,Low,Rear-end Collision,PA,Vehicle Accident,Minor,PA,USA,False,97.86676052507087,Third Party Property Damage,Liability,Closed,False,False,
