line_item_id,claim_id,repair_id,vehicle_id,line_item_type,description,part_type,quantity,unit_cost,labor_hours,labor_rate,labor_type,line_total,part_action,part_action_is_synthetic
22186,1991,2781,6016,Paint Materials,Paint Materials - Quarter Panel,,1.0,28.77,,,,28.77,,False
22187,1991,2781,6016,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,130.62,,,,130.62,,False
22188,1991,2781,6016,Sales Tax,Sales Tax (CA 7.25%),,,67.48,,,,67.48,,False
22189,1992,2782,1967,Part,Radiator Support,OEM,1.0,2273.5,,,,2273.5,Replaced,True
22190,1992,2782,1967,Labor,R&I / Replace - Radiator Support,,,,3.49,233.91,Mechanical,816.21,,False
22191,1992,2782,1967,Rental/LOU,Rental Car - 1 days,,1.0,46.49,,,,46.49,,False
22192,1992,2782,1967,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,145.74,,,,145.74,,False
22193,1992,2782,1967,Administrative Fee,Shop Supplies / Admin Fee,,,151.99,,,,151.99,,False
22194,1993,2783,1105,Part,Tail Light Assembly,OEM,1.0,1726.21,,,,1726.21,Repaired,True
22195,1993,2783,1105,Labor,R&I / Replace - Tail Light Assembly,,,,0.37,353.22,Body,130.49,,False
22196,1993,2783,1105,Administrative Fee,Shop Supplies / Admin Fee,,,48.25,,,,48.25,,False
22197,1993,2783,1105,Sales Tax,Sales Tax (NJ 6.60%),,,113.93,,,,113.93,,False
22198,1993,2784,1105,Part,Tail Light Assembly,OEM,1.0,1036.9,,,,1036.9,Replaced,True
22199,1993,2784,1105,Labor,R&I / Replace - Tail Light Assembly,,,,0.31,234.75,Body,73.89,,False
22200,1993,2784,1105,Administrative Fee,Shop Supplies / Admin Fee,,,41.9,,,,41.9,,False
22201,1993,2784,1105,Sales Tax,Sales Tax (NJ 6.60%),,,68.44,,,,68.44,,False
22202,1994,2785,3298,Part,Windshield,OEM,1.0,597.71,,,,597.71,Reused,True
22203,1994,2785,3298,Labor,R&I / Replace - Windshield,,,,1.13,92.42,Glass,104.55,,False
22204,1994,2785,3298,Part,Quarter Panel,OEM,1.0,1155.09,,,,1155.09,Replaced,True
22205,1994,2785,3298,Labor,R&I / Replace - Quarter Panel,,,,8.9,138.32,Frame,1230.94,,False
22206,1994,2785,3298,Towing,Flatbed Tow - 22mi,,1.0,236.07,,,,236.07,,False
22207,1994,2785,3298,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,147.01,,,,147.01,,False
22208,1994,2785,3298,ADAS Calibration,ADAS Calibration - Forward Camera/Radar,,1.0,229.4,,,,229.4,,False
22209,1994,2785,3298,Administrative Fee,Shop Supplies / Admin Fee,,,156.85,,,,156.85,,False
22210,1994,2785,3298,Sales Tax,Sales Tax (NY 8.00%),,,140.22,,,,140.22,,False
22211,1995,2786,843,Part,Door Panel - Passenger,Reconditioned,1.0,1699.62,,,,1699.62,Replaced,True
22212,1995,2786,843,Labor,R&I / Replace - Door Panel - Passenger,,,,4.03,138.74,Body,559.78,,False
22213,1995,2786,843,Part,Quarter Panel,OEM,1.0,3327.87,,,,3327.87,Repaired,True
22214,1995,2786,843,Labor,R&I / Replace - Quarter Panel,,,,8.31,236.85,Frame,1969.07,,False
22215,1995,2786,843,Paint Labor,Refinish - Quarter Panel,,,,3.5,142.05,Paint,497.74,,False
22216,1995,2786,843,Paint Materials,Paint Materials - Quarter Panel,,1.0,298.38,,,,298.38,,False
22217,1995,2786,843,Towing,Flatbed Tow - 6mi,,1.0,130.52,,,,130.52,,False
22218,1995,2786,843,Rental/LOU,Rental Car - 16 days,,16.0,54.01,,,,864.1,,False
22219,1995,2786,843,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,114.38,,,,114.38,,False
22220,1995,2786,843,Administrative Fee,Shop Supplies / Admin Fee,,,355.39,,,,355.39,,False
22221,1995,2786,843,Sales Tax,Sales Tax (TX 6.25%),,,314.22,,,,314.22,,False
22222,1996,2787,4239,Part,Door Panel - Passenger,OEM,1.0,898.34,,,,898.34,Replaced,True
22223,1996,2787,4239,Labor,R&I / Replace - Door Panel - Passenger,,,,1.69,79.95,Body,134.79,,False
22224,1996,2787,4239,Paint Labor,Refinish - Door Panel - Passenger,,,,0.58,67.92,Paint,39.21,,False
22225,1996,2787,4239,Paint Materials,Paint Materials - Door Panel - Passenger,,1.0,27.99,,,,27.99,,False
22226,1996,2787,4239,Part,Front Fender - Right,Reconditioned,1.0,256.5,,,,256.5,Replaced,True
22227,1996,2787,4239,Labor,R&I / Replace - Front Fender - Right,,,,1.23,62.65,Body,77.11,,False
22228,1996,2787,4239,Paint Labor,Refinish - Front Fender - Right,,,,0.89,68.27,Paint,60.48,,False
22229,1996,2787,4239,Paint Materials,Paint Materials - Front Fender - Right,,1.0,40.54,,,,40.54,,False
22230,1996,2787,4239,Administrative Fee,Shop Supplies / Admin Fee,,,46.23,,,,46.23,,False
22231,1996,2787,4239,Sales Tax,Sales Tax (FL 6.00%),,,69.29,,,,69.29,,False
22232,1996,2788,4239,Part,Quarter Panel,OEM,1.0,889.04,,,,889.04,Repaired,True
22233,1996,2788,4239,Labor,R&I / Replace - Quarter Panel,,,,4.17,119.67,Frame,499.21,,False
22234,1996,2788,4239,Paint Labor,Refinish - Quarter Panel,,,,1.57,67.0,Paint,104.87,,False
22235,1996,2788,4239,Paint Materials,Paint Materials - Quarter Panel,,1.0,60.28,,,,60.28,,False
22236,1996,2788,4239,Storage,Storage - 2 days,,2.0,60.37,,,,120.73,,False
22237,1996,2788,4239,Administrative Fee,Shop Supplies / Admin Fee,,,70.36,,,,70.36,,False
22238,1996,2788,4239,Sales Tax,Sales Tax (FL 6.00%),,,53.34,,,,53.34,,False
22239,1996,2789,4239,Part,Door Panel - Passenger,Aftermarket,1.0,878.69,,,,878.69,Reused,True
22240,1996,2789,4239,Labor,R&I / Replace - Door Panel - Passenger,,,,2.7,119.43,Body,322.32,,False
22241,1996,2789,4239,Paint Labor,Refinish - Door Panel - Passenger,,,,1.65,92.87,Paint,152.89,,False
22242,1996,2789,4239,Paint Materials,Paint Materials - Door Panel - Passenger,,1.0,126.52,,,,126.52,,False
22243,1996,2789,4239,Rental/LOU,Rental Car - 1 days,,1.0,35.8,,,,35.8,,False
22244,1996,2789,4239,Administrative Fee,Shop Supplies / Admin Fee,,,76.99,,,,76.99,,False
22245,1997,2790,6374,Part,Tail Light Assembly,Aftermarket,1.0,763.49,,,,763.49,Repaired,True
22246,1997,2790,6374,Labor,R&I / Replace - Tail Light Assembly,,,,0.33,411.8,Body,136.19,,False
22247,1997,2790,6374,Rental/LOU,Rental Car - 2 days,,2.0,39.11,,,,78.23,,False
22248,1997,2790,6374,Sales Tax,Sales Tax (IL 6.25%),,,47.72,,,,47.72,,False
22249,1997,2791,6374,Part,Tail Light Assembly,OEM,1.0,700.5,,,,700.5,Repaired,True
22250,1997,2791,6374,Labor,R&I / Replace - Tail Light Assembly,,,,0.3,290.02,Body,87.01,,False
22251,1997,2791,6374,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,99.09,,,,99.09,,False
22252,1997,2791,6374,Administrative Fee,Shop Supplies / Admin Fee,,,26.02,,,,26.02,,False
22253,1997,2791,6374,Sales Tax,Sales Tax (IL 6.25%),,,43.78,,,,43.78,,False
22254,1998,2792,6312,Part,Front Bumper Cover,OEM,1.0,1158.65,,,,1158.65,Repaired,True
22255,1998,2792,6312,Labor,R&I / Replace - Front Bumper Cover,,,,1.58,179.11,Body,282.74,,False
22256,1998,2792,6312,Paint Labor,Refinish - Front Bumper Cover,,,,1.38,180.51,Paint,249.05,,False
22257,1998,2792,6312,Paint Materials,Paint Materials - Front Bumper Cover,,1.0,153.19,,,,153.19,,False
22258,1998,2792,6312,Towing,Flatbed Tow - 4mi,,1.0,114.57,,,,114.57,,False
22259,1998,2792,6312,Rental/LOU,Rental Car - 3 days,,3.0,28.43,,,,85.3,,False
22260,1998,2792,6312,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,146.43,,,,146.43,,False
22261,1998,2792,6312,Administrative Fee,Shop Supplies / Admin Fee,,,85.29,,,,85.29,,False
22262,1998,2792,6312,Sales Tax,Sales Tax (PA 6.00%),,,69.52,,,,69.52,,False
22263,1998,2793,6312,Part,Front Bumper Cover,OEM,1.0,1078.42,,,,1078.42,Repaired,True
22264,1998,2793,6312,Labor,R&I / Replace - Front Bumper Cover,,,,1.44,154.03,Body,221.71,,False
22265,1998,2793,6312,Paint Labor,Refinish - Front Bumper Cover,,,,1.65,145.09,Paint,239.98,,False
22266,1998,2793,6312,Paint Materials,Paint Materials - Front Bumper Cover,,1.0,158.77,,,,158.77,,False
22267,1998,2793,6312,Storage,Storage - 2 days,,2.0,44.39,,,,88.77,,False
22268,1998,2793,6312,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,121.04,,,,121.04,,False
22269,1998,2793,6312,Administrative Fee,Shop Supplies / Admin Fee,,,87.09,,,,87.09,,False
22270,1999,2794,3408,Part,Tail Light Assembly,OEM,1.0,771.98,,,,771.98,Repaired,True
22271,1999,2794,3408,Labor,R&I / Replace - Tail Light Assembly,,,,0.31,193.65,Body,59.52,,False
22272,1999,2794,3408,Part,Rear Bumper Cover,Used/Recycled,1.0,546.2,,,,546.2,Repaired,True
22273,1999,2794,3408,Labor,R&I / Replace - Rear Bumper Cover,,,,1.41,197.17,Body,277.62,,False
22274,1999,2794,3408,Paint Labor,Refinish - Rear Bumper Cover,,,,1.49,197.29,Paint,293.93,,False
22275,1999,2794,3408,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,164.12,,,,164.12,,False
22276,1999,2794,3408,Rental/LOU,Rental Car - 1 days,,1.0,45.47,,,,45.47,,False
22277,1999,2794,3408,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,102.71,,,,102.71,,False
22278,1999,2794,3408,Administrative Fee,Shop Supplies / Admin Fee,,,130.79,,,,130.79,,False
22279,1999,2794,3408,Sales Tax,Sales Tax (FL 6.00%),,,79.09,,,,79.09,,False
22280,2000,2795,2109,Part,Quarter Panel,OEM,1.0,381.24,,,,381.24,Repaired,True
22281,2000,2795,2109,Labor,R&I / Replace - Quarter Panel,,,,3.99,57.32,Frame,228.6,,False
22282,2000,2795,2109,Part,Tail Light Assembly,OEM,1.0,138.07,,,,138.07,Replaced,True
22283,2000,2795,2109,Labor,R&I / Replace - Tail Light Assembly,,,,0.3,33.67,Body,10.14,,False
22284,2000,2795,2109,Part,Rear Bumper Cover,Reconditioned,1.0,110.99,,,,110.99,Reused,True
22285,2000,2795,2109,Labor,R&I / Replace - Rear Bumper Cover,,,,1.4,36.01,Body,50.58,,False
22286,2000,2795,2109,Paint Labor,Refinish - Rear Bumper Cover,,,,1.61,33.41,Paint,53.88,,False
22287,2000,2795,2109,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,40.75,,,,40.75,,False
22288,2000,2795,2109,Administrative Fee,Shop Supplies / Admin Fee,,,69.22,,,,69.22,,False
22289,2000,2795,2109,Sales Tax,Sales Tax (IL 6.25%),,,39.39,,,,39.39,,False
22290,2001,2796,5118,Part,Windshield,OEM,1.0,2467.37,,,,2467.37,Replaced,True
22291,2001,2796,5118,Labor,R&I / Replace - Windshield,,,,1.24,168.79,Glass,209.85,,False
22292,2001,2796,5118,Part,Headlight Assembly - Right,Aftermarket,1.0,1132.97,,,,1132.97,Replaced,True
22293,2001,2796,5118,Labor,R&I / Replace - Headlight Assembly - Right,,,,0.67,142.11,Body,95.84,,False
22294,2001,2796,5118,Part,Front Bumper Cover,OEM,1.0,2071.82,,,,2071.82,Repaired,True
22295,2001,2796,5118,Labor,R&I / Replace - Front Bumper Cover,,,,2.15,144.28,Body,310.56,,False
22296,2001,2796,5118,Paint Labor,Refinish - Front Bumper Cover,,,,2.22,125.48,Paint,278.23,,False
22297,2001,2796,5118,Paint Materials,Paint Materials - Front Bumper Cover,,1.0,161.77,,,,161.77,,False
22298,2001,2796,5118,Towing,Flatbed Tow - 32mi,,1.0,327.02,,,,327.02,,False
22299,2001,2796,5118,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,111.08,,,,111.08,,False
22300,2001,2796,5118,Administrative Fee,Shop Supplies / Admin Fee,,,438.36,,,,438.36,,False
22301,2001,2796,5118,Sales Tax,Sales Tax (NY 8.00%),,,453.77,,,,453.77,,False
22302,2001,2797,5118,Part,Front Bumper Cover,Aftermarket,1.0,4677.33,,,,4677.33,Replaced,True
22303,2001,2797,5118,Labor,R&I / Replace - Front Bumper Cover,,,,1.63,479.45,Body,783.48,,False
22304,2001,2797,5118,Paint Labor,Refinish - Front Bumper Cover,,,,1.65,415.21,Paint,685.92,,False
22305,2001,2797,5118,Paint Materials,Paint Materials - Front Bumper Cover,,1.0,524.5,,,,524.5,,False
22306,2001,2797,5118,Towing,Flatbed Tow - 10mi,,1.0,146.9,,,,146.9,,False
22307,2001,2797,5118,Storage,Storage - 3 days,,3.0,42.62,,,,127.85,,False
22308,2001,2797,5118,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,118.08,,,,118.08,,False
22309,2001,2797,5118,Administrative Fee,Shop Supplies / Admin Fee,,,42.83,,,,42.83,,False
22310,2001,2797,5118,Sales Tax,Sales Tax (NY 8.00%),,,374.19,,,,374.19,,False
22311,2002,2798,5574,Part,Quarter Panel,OEM,1.0,3249.8,,,,3249.8,Replaced,True
22312,2002,2798,5574,Labor,R&I / Replace - Quarter Panel,,,,12.45,385.73,Frame,4802.57,,False
22313,2002,2798,5574,Rental/LOU,Rental Car - 13 days,,13.0,47.09,,,,612.15,,False
22314,2002,2798,5574,Sales Tax,Sales Tax (OH 5.75%),,,186.86,,,,186.86,,False
22315,2003,2799,1821,Part,Quarter Panel,OEM,1.0,541.2,,,,541.2,Replaced,True
22316,2003,2799,1821,Labor,R&I / Replace - Quarter Panel,,,,3.52,94.95,Frame,334.22,,False
22317,2003,2799,1821,Paint Labor,Refinish - Quarter Panel,,,,0.57,50.66,Paint,28.87,,False
22318,2003,2799,1821,Paint Materials,Paint Materials - Quarter Panel,,1.0,22.58,,,,22.58,,False
22319,2003,2799,1821,Rental/LOU,Rental Car - 1 days,,1.0,31.01,,,,31.01,,False
22320,2003,2799,1821,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,88.38,,,,88.38,,False
22321,2003,2799,1821,Administrative Fee,Shop Supplies / Admin Fee,,,39.69,,,,39.69,,False
22322,2003,2799,1821,Sales Tax,Sales Tax (FL 6.00%),,,32.47,,,,32.47,,False
22323,2004,2800,451,Part,Front Fender - Right,OEM,1.0,1008.81,,,,1008.81,Replaced,True
22324,2004,2800,451,Labor,R&I / Replace - Front Fender - Right,,,,1.96,236.31,Body,462.97,,False
22325,2004,2800,451,Paint Labor,Refinish - Front Fender - Right,,,,1.13,204.98,Paint,231.43,,False
22326,2004,2800,451,Paint Materials,Paint Materials - Front Fender - Right,,1.0,170.42,,,,170.42,,False
22327,2004,2800,451,Storage,Storage - 1 days,,1.0,65.25,,,,65.25,,False
22328,2004,2800,451,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,92.7,,,,92.7,,False
22329,2004,2800,451,Administrative Fee,Shop Supplies / Admin Fee,,,98.13,,,,98.13,,False
22330,2005,2801,4044,Part,Quarter Panel,Used/Recycled,1.0,186.06,,,,186.06,Repaired,True
22331,2005,2801,4044,Labor,R&I / Replace - Quarter Panel,,,,5.45,76.45,Frame,416.35,,False
22332,2005,2801,4044,Paint Labor,Refinish - Quarter Panel,,,,1.39,51.5,Paint,71.74,,False
22333,2005,2801,4044,Paint Materials,Paint Materials - Quarter Panel,,1.0,44.12,,,,44.12,,False
22334,2005,2801,4044,Towing,Flatbed Tow - 28mi,,1.0,308.15,,,,308.15,,False
22335,2005,2801,4044,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,103.92,,,,103.92,,False
22336,2005,2801,4044,Administrative Fee,Shop Supplies / Admin Fee,,,47.94,,,,47.94,,False
22337,2005,2801,4044,Sales Tax,Sales Tax (IL 6.25%),,,11.63,,,,11.63,,False
22338,2006,2802,5529,Part,Headlight Assembly - Right,Aftermarket,1.0,472.02,,,,472.02,Replaced,True
22339,2006,2802,5529,Labor,R&I / Replace - Headlight Assembly - Right,,,,0.52,151.25,Body,77.94,,False
22340,2006,2802,5529,Part,Front Bumper Cover,OEM,1.0,785.45,,,,785.45,Replaced,True
22341,2006,2802,5529,Labor,R&I / Replace - Front Bumper Cover,,,,2.29,142.59,Body,325.9,,False
22342,2006,2802,5529,Paint Labor,Refinish - Front Bumper Cover,,,,2.07,124.48,Paint,258.14,,False
22343,2006,2802,5529,Paint Materials,Paint Materials - Front Bumper Cover,,1.0,178.49,,,,178.49,,False
22344,2006,2802,5529,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,133.03,,,,133.03,,False
22345,2006,2802,5529,ADAS Calibration,ADAS Calibration - Forward Camera/Radar,,1.0,357.35,,,,357.35,,False
22346,2006,2802,5529,Administrative Fee,Shop Supplies / Admin Fee,,,48.11,,,,48.11,,False
22347,2006,2802,5529,Sales Tax,Sales Tax (NY 8.00%),,,100.6,,,,100.6,,False
22348,2007,2803,1931,Part,Front Bumper Cover,Used/Recycled,1.0,557.14,,,,557.14,Replaced,True
22349,2007,2803,1931,Labor,R&I / Replace - Front Bumper Cover,,,,2.8,225.07,Body,630.85,,False
22350,2007,2803,1931,Paint Labor,Refinish - Front Bumper Cover,,,,1.05,201.75,Paint,211.7,,False
22351,2007,2803,1931,Paint Materials,Paint Materials - Front Bumper Cover,,1.0,131.44,,,,131.44,,False
22352,2007,2803,1931,Storage,Storage - 2 days,,2.0,64.05,,,,128.11,,False
22353,2007,2803,1931,ADAS Calibration,ADAS Calibration - Forward Camera/Radar,,1.0,410.21,,,,410.21,,False
22354,2007,2803,1931,Administrative Fee,Shop Supplies / Admin Fee,,,68.25,,,,68.25,,False
22355,2007,2803,1931,Sales Tax,Sales Tax (CA 7.25%),,,40.39,,,,40.39,,False
22356,2008,2804,4236,Part,Headlight Assembly - Right,OEM,1.0,2159.41,,,,2159.41,Reused,True
22357,2008,2804,4236,Labor,R&I / Replace - Headlight Assembly - Right,,,,0.6,332.91,Body,199.75,,False
22358,2008,2804,4236,Part,Headlight Assembly - Left,Aftermarket,1.0,1278.86,,,,1278.86,Replaced,True
22359,2008,2804,4236,Labor,R&I / Replace - Headlight Assembly - Left,,,,0.77,325.71,Body,251.39,,False
22360,2008,2804,4236,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,134.41,,,,134.41,,False
22361,2008,2804,4236,Administrative Fee,Shop Supplies / Admin Fee,,,270.48,,,,270.48,,False
22362,2008,2804,4236,Sales Tax,Sales Tax (CA 7.25%),,,249.27,,,,249.27,,False
22363,2009,2805,4349,Part,Rear Bumper Cover,OEM,1.0,986.65,,,,986.65,Reused,True
22364,2009,2805,4349,Labor,R&I / Replace - Rear Bumper Cover,,,,1.26,219.8,Body,276.64,,False
22365,2009,2805,4349,Paint Labor,Refinish - Rear Bumper Cover,,,,0.59,182.58,Paint,107.33,,False
22366,2009,2805,4349,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,73.52,,,,73.52,,False
22367,2009,2805,4349,Rental/LOU,Rental Car - 8 days,,8.0,40.75,,,,325.98,,False
22368,2009,2805,4349,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,112.85,,,,112.85,,False
22369,2009,2805,4349,Administrative Fee,Shop Supplies / Admin Fee,,,60.44,,,,60.44,,False
22370,2009,2805,4349,Sales Tax,Sales Tax (FL 6.00%),,,59.2,,,,59.2,,False
22371,2010,2806,759,Part,Headlight Assembly - Left,OEM,1.0,5221.66,,,,5221.66,Repaired,True
22372,2010,2806,759,Labor,R&I / Replace - Headlight Assembly - Left,,,,0.68,433.73,Body,294.72,,False
22373,2010,2806,759,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,93.69,,,,93.69,,False
22374,2010,2806,759,Administrative Fee,Shop Supplies / Admin Fee,,,57.76,,,,57.76,,False
22375,2011,2807,6478,Part,Front Bumper Cover,Aftermarket,1.0,849.15,,,,849.15,Replaced,True
22376,2011,2807,6478,Labor,R&I / Replace - Front Bumper Cover,,,,3.86,242.85,Body,936.41,,False
22377,2011,2807,6478,Paint Labor,Refinish - Front Bumper Cover,,,,2.75,222.54,Paint,611.94,,False
22378,2011,2807,6478,Paint Materials,Paint Materials - Front Bumper Cover,,1.0,368.2,,,,368.2,,False
22379,2011,2807,6478,Part,Grille,Aftermarket,1.0,374.39,,,,374.39,Repaired,True
22380,2011,2807,6478,Labor,R&I / Replace - Grille,,,,0.99,218.61,Body,217.21,,False
22381,2011,2807,6478,Paint Labor,Refinish - Grille,,,,2.68,235.01,Paint,630.2,,False
22382,2011,2807,6478,Paint Materials,Paint Materials - Grille,,1.0,358.11,,,,358.11,,False
22383,2011,2807,6478,Rental/LOU,Rental Car - 12 days,,12.0,38.95,,,,467.45,,False
22384,2011,2807,6478,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,129.93,,,,129.93,,False
22385,2011,2807,6478,Administrative Fee,Shop Supplies / Admin Fee,,,212.32,,,,212.32,,False
22386,2011,2807,6478,Sales Tax,Sales Tax (GA 4.00%),,,48.94,,,,48.94,,False
22387,2012,2808,3064,Part,Rear Bumper Cover,OEM,1.0,2079.35,,,,2079.35,Repaired,True
22388,2012,2808,3064,Labor,R&I / Replace - Rear Bumper Cover,,,,1.27,186.56,Body,236.52,,False
22389,2012,2808,3064,Paint Labor,Refinish - Rear Bumper Cover,,,,1.62,150.66,Paint,244.32,,False
22390,2012,2808,3064,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,181.59,,,,181.59,,False
22391,2012,2808,3064,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,105.67,,,,105.67,,False
22392,2012,2808,3064,Administrative Fee,Shop Supplies / Admin Fee,,,46.34,,,,46.34,,False
22393,2012,2808,3064,Sales Tax,Sales Tax (CA 7.25%),,,150.75,,,,150.75,,False
22394,2013,2809,811,Part,Rear Bumper Cover,OEM,1.0,1113.48,,,,1113.48,Replaced,True
22395,2013,2809,811,Labor,R&I / Replace - Rear Bumper Cover,,,,3.11,273.07,Body,849.32,,False
22396,2013,2809,811,Paint Labor,Refinish - Rear Bumper Cover,,,,2.12,232.41,Paint,493.07,,False
22397,2013,2809,811,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,293.1,,,,293.1,,False
22398,2013,2809,811,Part,Tail Light Assembly,Aftermarket,1.0,387.14,,,,387.14,Replaced,True
22399,2013,2809,811,Labor,R&I / Replace - Tail Light Assembly,,,,0.84,255.77,Body,215.8,,False
22400,2013,2809,811,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,119.63,,,,119.63,,False
22401,2013,2809,811,Administrative Fee,Shop Supplies / Admin Fee,,,199.74,,,,199.74,,False
22402,2013,2809,811,Sales Tax,Sales Tax (PA 6.00%),,,90.04,,,,90.04,,False
22403,2014,2810,6280,Part,Grille,OEM,1.0,935.9,,,,935.9,Repaired,True
22404,2014,2810,6280,Labor,R&I / Replace - Grille,,,,0.5,367.41,Body,183.33,,False
22405,2014,2810,6280,Towing,Flatbed Tow - 5mi,,1.0,114.29,,,,114.29,,False
22406,2014,2810,6280,Administrative Fee,Shop Supplies / Admin Fee,,,39.6,,,,39.6,,False
22407,2014,2810,6280,Sales Tax,Sales Tax (GA 4.00%),,,37.44,,,,37.44,,False
22408,2015,2811,857,Part,Door Panel - Driver,OEM,1.0,1108.83,,,,1108.83,Repaired,True
22409,2015,2811,857,Labor,R&I / Replace - Door Panel - Driver,,,,3.32,95.9,Body,318.04,,False
22410,2015,2811,857,Rental/LOU,Rental Car - 5 days,,5.0,33.85,,,,169.27,,False
22411,2015,2811,857,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,96.67,,,,96.67,,False
22412,2015,2811,857,Administrative Fee,Shop Supplies / Admin Fee,,,104.68,,,,104.68,,False
22413,2016,2812,5857,Part,Tail Light Assembly,Aftermarket,1.0,499.16,,,,499.16,Repaired,True
22414,2016,2812,5857,Labor,R&I / Replace - Tail Light Assembly,,,,0.83,385.15,Body,320.54,,False
22415,2016,2812,5857,Part,Rear Bumper Cover,OEM,1.0,1807.93,,,,1807.93,Reused,True
22416,2016,2812,5857,Labor,R&I / Replace - Rear Bumper Cover,,,,3.5,445.66,Body,1561.96,,False
22417,2016,2812,5857,Paint Labor,Refinish - Rear Bumper Cover,,,,2.88,317.57,Paint,916.11,,False
22418,2016,2812,5857,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,763.14,,,,763.14,,False
22419,2016,2812,5857,Administrative Fee,Shop Supplies / Admin Fee,,,258.62,,,,258.62,,False
22420,2016,2812,5857,Sales Tax,Sales Tax (IL 6.25%),,,144.19,,,,144.19,,False
22421,2017,2813,2371,Part,Rear Bumper Cover,OEM,1.0,731.1,,,,731.1,Replaced,True
22422,2017,2813,2371,Labor,R&I / Replace - Rear Bumper Cover,,,,2.96,102.24,Body,303.09,,False
22423,2017,2813,2371,Paint Labor,Refinish - Rear Bumper Cover,,,,2.18,102.93,Paint,223.97,,False
22424,2017,2813,2371,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,158.51,,,,158.51,,False
22425,2017,2813,2371,Part,Tail Light Assembly,OEM,1.0,400.78,,,,400.78,Repaired,True
22426,2017,2813,2371,Labor,R&I / Replace - Tail Light Assembly,,,,0.65,115.16,Body,75.26,,False
22427,2017,2813,2371,Part,Quarter Panel,OEM,1.0,1057.77,,,,1057.77,Repaired,True
22428,2017,2813,2371,Labor,R&I / Replace - Quarter Panel,,,,12.75,175.49,Frame,2237.85,,False
22429,2017,2813,2371,Paint Labor,Refinish - Quarter Panel,,,,2.61,107.55,Paint,280.56,,False
22430,2017,2813,2371,Paint Materials,Paint Materials - Quarter Panel,,1.0,146.19,,,,146.19,,False
22431,2017,2813,2371,Towing,Flatbed Tow - 6mi,,1.0,120.61,,,,120.61,,False
22432,2017,2813,2371,Rental/LOU,Rental Car - 11 days,,11.0,35.58,,,,391.35,,False
22433,2017,2813,2371,Diagnostic Scan,Pre/Post-Repair Scan,,1.0,107.43,,,,107.43,,False
22434,2017,2813,2371,Administrative Fee,Shop Supplies / Admin Fee,,,339.36,,,,339.36,,False
22435,2017,2813,2371,Sales Tax,Sales Tax (TX 6.25%),,,136.85,,,,136.85,,False
22436,2018,2814,1501,Part,Rear Bumper Cover,Used/Recycled,1.0,1026.73,,,,1026.73,Replaced,True
22437,2018,2814,1501,Labor,R&I / Replace - Rear Bumper Cover,,,,2.1,381.06,Body,798.39,,False
22438,2018,2814,1501,Paint Labor,Refinish - Rear Bumper Cover,,,,0.9,348.58,Paint,314.75,,False
22439,2018,2814,1501,Paint Materials,Paint Materials - Rear Bumper Cover,,1.0,173.8,,,,173.8,,False
22440,2018,2814,1501,Rental/LOU,Rental Car - 8 days,,8.0,43.5,,,,348.03,,False
22441,2018,2814,1501,Administrative Fee,Shop Supplies / Admin Fee,,,76.83,,,,76.83,,False
22442,2018,2815,1501,Part,Quarter Panel,Used/Recycled,1.0,1256.36,,,,1256.36,Replaced,True
22443,2018,2815,1501,Labor,R&I / Replace - Quarter Panel,,,,5.67,355.54,Frame,2015.61,,False
22444,2018,2815,1501,Administrative Fee,Shop Supplies / Admin Fee,,,230.85,,,,230.85,,False
22445,2018,2815,1501,Sales Tax,Sales Tax (NY 8.00%),,,100.51,,,,100.51,,False
22446,2018,2816,1501,Part,Tail Light Assembly,Reconditioned,1.0,1972.19,,,,1972.19,Replaced,True
22447,2018,2816,1501,Labor,R&I / Replace - Tail Light Assembly,,,,0.5,886.66,Body,443.85,,False
22448,2018,2816,1501,Towing,Flatbed Tow - 18mi,,1.0,209.25,,,,209.25,,False
